item_nbr,year,month,onpromotion_anytime_in_month,unit_sales,date,family,class,perishable
870938,2013,1,True,436.0,2013-01-01,DAIRY,2124,1
870938,2013,2,True,392.0,2013-02-01,DAIRY,2124,1
870938,2013,3,True,443.0,2013-03-01,DAIRY,2124,1
870938,2013,4,True,433.0,2013-04-01,DAIRY,2124,1
870938,2013,5,True,498.0,2013-05-01,DAIRY,2124,1
870938,2013,6,True,389.0,2013-06-01,DAIRY,2124,1
870938,2013,7,True,400.0,2013-07-01,DAIRY,2124,1
870938,2013,8,True,372.0,2013-08-01,DAIRY,2124,1
870938,2013,9,True,376.0,2013-09-01,DAIRY,2124,1
870938,2013,10,True,355.0,2013-10-01,DAIRY,2124,1
870938,2013,11,True,394.0,2013-11-01,DAIRY,2124,1
870938,2013,12,True,453.0,2013-12-01,DAIRY,2124,1
870938,2014,1,True,402.0,2014-01-01,DAIRY,2124,1
870938,2014,2,True,351.0,2014-02-01,DAIRY,2124,1
870938,2014,3,True,390.0,2014-03-01,DAIRY,2124,1
870938,2014,4,False,390.0,2014-04-01,DAIRY,2124,1
870938,2014,5,False,402.0,2014-05-01,DAIRY,2124,1
870938,2014,6,False,374.0,2014-06-01,DAIRY,2124,1
870938,2014,7,False,312.0,2014-07-01,DAIRY,2124,1
870938,2014,8,False,416.0,2014-08-01,DAIRY,2124,1
870938,2014,9,False,397.0,2014-09-01,DAIRY,2124,1
870938,2014,10,False,398.0,2014-10-01,DAIRY,2124,1
870938,2014,11,False,332.0,2014-11-01,DAIRY,2124,1
870938,2014,12,False,360.0,2014-12-01,DAIRY,2124,1
870938,2015,1,False,362.0,2015-01-01,DAIRY,2124,1
870938,2015,2,False,334.0,2015-02-01,DAIRY,2124,1
870938,2015,3,False,372.0,2015-03-01,DAIRY,2124,1
870938,2015,4,True,336.0,2015-04-01,DAIRY,2124,1
870938,2015,5,False,379.0,2015-05-01,DAIRY,2124,1
870938,2015,6,False,327.0,2015-06-01,DAIRY,2124,1
870938,2015,7,False,301.0,2015-07-01,DAIRY,2124,1
870938,2015,8,False,263.0,2015-08-01,DAIRY,2124,1
870938,2015,9,False,185.0,2015-09-01,DAIRY,2124,1
870938,2015,10,False,195.0,2015-10-01,DAIRY,2124,1
870938,2015,11,False,227.0,2015-11-01,DAIRY,2124,1
870938,2015,12,False,246.0,2015-12-01,DAIRY,2124,1
870938,2016,1,False,206.0,2016-01-01,DAIRY,2124,1
870938,2016,2,False,209.0,2016-02-01,DAIRY,2124,1
870938,2016,3,False,209.0,2016-03-01,DAIRY,2124,1
870938,2016,4,False,230.0,2016-04-01,DAIRY,2124,1
870938,2016,5,False,220.0,2016-05-01,DAIRY,2124,1
870938,2016,6,False,176.0,2016-06-01,DAIRY,2124,1
870938,2016,7,False,187.0,2016-07-01,DAIRY,2124,1
870938,2016,8,False,139.0,2016-08-01,DAIRY,2124,1
870938,2016,9,False,186.0,2016-09-01,DAIRY,2124,1
870938,2016,10,False,205.0,2016-10-01,DAIRY,2124,1
870938,2016,11,False,178.0,2016-11-01,DAIRY,2124,1
870938,2016,12,False,199.0,2016-12-01,DAIRY,2124,1
870938,2017,1,True,215.0,2017-01-01,DAIRY,2124,1
870938,2017,2,True,188.0,2017-02-01,DAIRY,2124,1
870938,2017,3,False,196.0,2017-03-01,DAIRY,2124,1
870938,2017,4,False,158.0,2017-04-01,DAIRY,2124,1
870938,2017,5,False,162.0,2017-05-01,DAIRY,2124,1
870938,2017,6,False,146.0,2017-06-01,DAIRY,2124,1
870938,2017,7,False,165.0,2017-07-01,DAIRY,2124,1
870938,2017,8,False,86.0,2017-08-01,DAIRY,2124,1
