,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-07-01,98542.0,99340.0,97231.0,98954.0,11609800,0.0,0.0
2022-07-05,98608.0,98608.0,96499.0,98295.0,13358800,0.0,0.0
2022-07-06,98294.0,99141.0,97423.0,98719.0,13348200,0.0,0.0
2022-07-07,98722.0,101420.0,98722.0,100730.0,12696300,0.0,0.0
2022-07-08,100732.0,101577.0,99958.0,100289.0,9730400,0.0,0.0
2022-07-11,100282.0,100282.0,97854.0,98212.0,8893400,0.0,0.0
2022-07-12,98212.0,98737.0,97253.0,98271.0,12566300,0.0,0.0
2022-07-13,98258.0,98928.0,97403.0,97881.0,12208100,0.0,0.0
2022-07-14,97879.0,97879.0,95431.0,96121.0,12579000,0.0,0.0
2022-07-15,96119.0,96971.0,95267.0,96551.0,11347600,0.0,0.0
2022-07-18,96553.0,98291.0,96553.0,96916.0,10738200,0.0,0.0
2022-07-19,96920.0,98346.0,96917.0,98245.0,10295900,0.0,0.0
2022-07-20,98244.0,98366.0,97277.0,98287.0,12941700,0.0,0.0
2022-07-21,98286.0,99057.0,97088.0,99033.0,10060000,0.0,0.0
2022-07-22,99034.0,99724.0,98321.0,98925.0,10033500,0.0,0.0
2022-07-25,98926.0,100508.0,98925.0,100270.0,8621800,0.0,0.0
2022-07-26,100270.0,100753.0,99365.0,99772.0,9136600,0.0,0.0
2022-07-27,99773.0,101471.0,99772.0,101438.0,10263100,0.0,0.0
2022-07-28,101437.0,102686.0,101045.0,102597.0,11130000,0.0,0.0
2022-07-29,102597.0,103989.0,102514.0,103165.0,12934200,0.0,0.0
2022-08-01,103165.0,103317.0,101764.0,102225.0,11626700,0.0,0.0
2022-08-02,102225.0,103660.0,101694.0,103362.0,10124500,0.0,0.0
2022-08-03,103362.0,103878.0,102822.0,103775.0,12379600,0.0,0.0
2022-08-04,103777.0,106162.0,103777.0,105892.0,15499000,0.0,0.0
2022-08-05,105893.0,107176.0,105518.0,106472.0,12947500,0.0,0.0
2022-08-08,106473.0,108489.0,106473.0,108402.0,12674600,0.0,0.0
2022-08-09,108403.0,109331.0,107842.0,108651.0,12147900,0.0,0.0
2022-08-10,108658.0,110362.0,108657.0,110236.0,13376200,0.0,0.0
2022-08-11,110236.0,111310.0,109604.0,109718.0,14944800,0.0,0.0
2022-08-12,109718.0,112764.0,109718.0,112764.0,18704900,0.0,0.0
2022-08-15,112767.0,113214.0,111067.0,113032.0,15552900,0.0,0.0
2022-08-16,113034.0,113626.0,112690.0,113512.0,12986400,0.0,0.0
2022-08-17,113508.0,114146.0,112483.0,113708.0,14652800,0.0,0.0
2022-08-18,113708.0,114375.0,113304.0,113813.0,10644200,0.0,0.0
2022-08-19,113807.0,113807.0,111146.0,111496.0,12678600,0.0,0.0
2022-08-22,111487.0,111487.0,109858.0,110501.0,11010900,0.0,0.0
2022-08-23,110504.0,112965.0,110503.0,112857.0,11892000,0.0,0.0
2022-08-24,112856.0,113888.0,112632.0,112898.0,13758600,0.0,0.0
2022-08-25,112898.0,114156.0,112768.0,113532.0,11838500,0.0,0.0
2022-08-26,113533.0,114091.0,111978.0,112299.0,11159700,0.0,0.0
2022-08-29,112296.0,113222.0,111689.0,112323.0,9795800,0.0,0.0
2022-08-30,112323.0,112869.0,110103.0,110431.0,11937900,0.0,0.0
2022-08-31,110431.0,111364.0,109523.0,109523.0,14791100,0.0,0.0
2022-09-01,109524.0,110405.0,108217.0,110405.0,14478000,0.0,0.0
2022-09-02,110409.0,112264.0,110409.0,110864.0,16691800,0.0,0.0
2022-09-06,112203.0,112203.0,109348.0,109764.0,14296100,0.0,0.0
2022-09-08,109771.0,110768.0,108619.0,109916.0,13759500,0.0,0.0
2022-09-09,109922.0,112540.0,109922.0,112300.0,12155200,0.0,0.0
2022-09-12,112307.0,114160.0,112305.0,113407.0,11707100,0.0,0.0
2022-09-13,113398.0,113400.0,110522.0,110794.0,12612500,0.0,0.0
2022-09-14,110794.0,111504.0,110118.0,110547.0,11630900,0.0,0.0
2022-09-15,110547.0,111100.0,109524.0,109954.0,11622500,0.0,0.0
2022-09-16,109951.0,109952.0,108489.0,109280.0,18843300,0.0,0.0
2022-09-19,109283.0,111976.0,108508.0,111824.0,12594800,0.0,0.0
2022-09-20,111824.0,112544.0,111393.0,112517.0,12570300,0.0,0.0
2022-09-21,112517.0,113294.0,111380.0,111936.0,14726800,0.0,0.0
2022-09-22,111942.0,114392.0,111819.0,114070.0,15684400,0.0,0.0
2022-09-23,112258.0,112457.0,110732.0,111716.0,13542300,0.0,0.0
2022-09-26,111713.0,111713.0,109022.0,109114.0,13127000,0.0,0.0
2022-09-27,109122.0,110161.0,108120.0,108376.0,14517500,0.0,0.0
2022-09-28,108377.0,108970.0,107914.0,108451.0,13540500,0.0,0.0
2022-09-29,108449.0,108449.0,106244.0,107664.0,14588500,0.0,0.0
2022-09-30,107664.0,110502.0,107315.0,110037.0,16536300,0.0,0.0
2022-10-03,110048.0,116134.0,110048.0,116134.0,20982900,0.0,0.0
2022-10-04,116704.0,118280.0,115837.0,116230.0,16078700,0.0,0.0
2022-10-05,116231.0,117514.0,115906.0,117198.0,13555200,0.0,0.0
2022-10-06,117200.0,118382.0,117144.0,117561.0,14520500,0.0,0.0
2022-10-07,117560.0,117960.0,115924.0,116375.0,13616500,0.0,0.0
2022-10-10,116377.0,116841.0,115261.0,115941.0,11429900,0.0,0.0
2022-10-11,115928.0,115928.0,114297.0,114827.0,13137900,0.0,0.0
2022-10-13,114819.0,115367.0,112690.0,114300.0,14583700,0.0,0.0
2022-10-14,114301.0,114712.0,111631.0,112072.0,13096100,0.0,0.0
2022-10-17,112107.0,114406.0,112090.0,113624.0,11633000,0.0,0.0
2022-10-18,113627.0,115795.0,113627.0,115743.0,14744200,0.0,0.0
2022-10-19,115744.0,116459.0,115264.0,116274.0,12729900,0.0,0.0
2022-10-20,116276.0,117367.0,116276.0,117171.0,16915800,0.0,0.0
2022-10-21,117170.0,120752.0,116736.0,119929.0,18579800,0.0,0.0
2022-10-24,119922.0,119924.0,115793.0,116013.0,13278800,0.0,0.0
2022-10-25,116016.0,116203.0,114626.0,114626.0,14727200,0.0,0.0
2022-10-26,114626.0,114626.0,112577.0,112764.0,16088200,0.0,0.0
2022-10-27,112766.0,116236.0,112765.0,114641.0,15530800,0.0,0.0
2022-10-28,114636.0,114712.0,113336.0,114539.0,14392400,0.0,0.0
2022-10-31,114533.0,116763.0,112113.0,116037.0,21637900,0.0,0.0
2022-11-01,116037.0,118261.0,115547.0,116929.0,17969700,0.0,0.0
2022-11-03,116927.0,117373.0,114485.0,116896.0,15634600,0.0,0.0
2022-11-04,116907.0,120039.0,116904.0,118155.0,16209500,0.0,0.0
2022-11-07,118148.0,118240.0,115266.0,115342.0,15221900,0.0,0.0
2022-11-08,115340.0,117072.0,114688.0,116160.0,14239800,0.0,0.0
2022-11-09,116153.0,116183.0,113110.0,113580.0,20531600,0.0,0.0
2022-11-10,113579.0,113579.0,108516.0,109775.0,26029300,0.0,0.0
2022-11-11,109775.0,113010.0,109408.0,112253.0,25038700,0.0,0.0
2022-11-14,112256.0,114322.0,111930.0,113161.0,15080400,0.0,0.0
2022-11-16,113166.0,113473.0,109512.0,110243.0,18351000,0.0,0.0
2022-11-17,110241.0,110242.0,107245.0,109703.0,23119600,0.0,0.0
2022-11-18,109706.0,111585.0,108512.0,108880.0,18769100,0.0,0.0
2022-11-21,108868.0,110235.0,107957.0,109748.0,16651600,0.0,0.0
2022-11-22,109750.0,110224.0,107867.0,109037.0,15056500,0.0,0.0
2022-11-23,109036.0,109285.0,107902.0,108683.0,13198400,0.0,0.0
2022-11-25,111831.0,112025.0,108552.0,108977.0,12309100,0.0,0.0
