guid;stock;title;summary;published;p_date;sentiment_summary;sentiment_title
83d46be8-8c7b-3abb-b1e7-6e2485a1671a;S;Why SentinelOne Stock Was Winning This Week;The company signed a partnership deal with a top name in tech hardware.;Fri, 20 Sep 2024 11:44:14 +0000;S_2024-09-20;0.2023;0.5267
e7068abb-1142-36ac-9784-55305d395b25;S;Cybersecurity Stocks Q2 Results: Benchmarking CrowdStrike (NASDAQ:CRWD);The end of the earnings season is always a good time to take a step back and see who shined (and who not so much). Let’s take a look at how cybersecurity stocks fared in Q2, starting with CrowdStrike (NASDAQ:CRWD).;Thu, 19 Sep 2024 08:40:46 +0000;S_2024-09-19;0.4404;0.0
ab8314c2-f0d4-3905-9730-9865f3cf964d;S;SentinelOne Takes Top Honors at 2024 SC Media Awards as AI-Powered Singularity Platform Wins Best Enterprise Security Solution and Best Endpoint Security Solution;MOUNTAIN VIEW, Calif., September 18, 2024--SentinelOne® (NYSE: S), a global leader in AI-powered security, announced that SentinelOne's Singularity™ Platform won both the Best Enterprise Security Solution and the Best Endpoint Security Solution at the 2024 SC Media Awards.;Wed, 18 Sep 2024 13:00:00 +0000;S_2024-09-18;0.9774;0.981
34c106d0-52ff-33f0-8811-9836ef9493d4;S;Why Is SentinelOne (S) Stock Rocketing Higher Today;Shares of cyber security company SentinelOne (NYSE:S) jumped 6.7% in the afternoon session after the company announced a deal to include its AI-powered endpoint security solutions (like antivirus software) in millions of Lenovo devices. The deal will cover new Lenovo PCs and also include the option for existing Lenovo customers to upgrade to SentinelOne's security option.;Tue, 17 Sep 2024 20:04:07 +0000;S_2024-09-17;0.8442;0.0
50b393c7-0454-38c0-84a8-f741b0513063;S;SentinelOne and Lenovo Collaborate to Protect Lenovo PCs with Embedded AI Security;MOUNTAIN VIEW, Calif. & MORRISVILLE, N.J., September 16, 2024--SentinelOne® (NYSE: S) and Lenovo (HKSE: 992) (ADR: LNVGY) today announced a multi-year collaboration to bring AI-powered endpoint security to millions of Lenovo devices across the globe. Lenovo will include SentinelOne’s industry-leading Singularity™ Platform and generative AI capabilities (Purple AI) in new PC shipments, as well as offer upgrades to existing customers to expand its ThinkShield security portfolio and autonomously pr;Mon, 16 Sep 2024 13:00:00 +0000;S_2024-09-16;0.802;0.6124
edbdc2c5-a770-3340-b050-738ce0094474;S;Insider Sale: CFO David Bernhardt Sells Shares of SentinelOne Inc (S);On September 11, 2024, David Bernhardt, the Chief Financial Officer of SentinelOne Inc (NYSE:S), sold 11,222 shares of the company.;Sat, 14 Sep 2024 05:52:10 +0000;S_2024-09-14;0.296;0.296
f0e24e9a-9e9e-3087-ace0-22f04e7dfe29;S;SentinelOne Stock Sees Improving Relative Strength Performance;SentinelOne shows improving price performance, earning an upgrade to its IBD Relative Strength Rating;Fri, 13 Sep 2024 18:32:00 +0000;S_2024-09-13;0.7184;0.7184
f25e8f0d-9787-336d-865a-b0076a188852;S;SentinelOne Achieves FedRAMP High Authorization for Singularity Platform and Singularity Data Lake;MOUNTAIN VIEW, Calif., September 12, 2024--SentinelOne® (NYSE: S), a global leader in AI-powered security, today announced that the SentinelOne Singularity™ Platform and Singularity Data Lake have achieved Federal Risk and Authorization Management Program (FedRAMP®) authorization at the High Impact Level from the FedRAMP Program Management Office. The authorization validates the strength of SentinelOne’s AI-powered solutions in providing industry-leading protection against cyber attacks to US Fe;Thu, 12 Sep 2024 13:00:00 +0000;S_2024-09-12;0.5719;0.0
f2d4c0b1-9b90-321a-a79e-613a39d4958b;S;Fortune Media and Great Place To Work Name SentinelOne to 2024 Best Workplaces in Technology List;MOUNTAIN VIEW, Calif., September 12, 2024--SentinelOne® (NYSE: S) a global leader in AI-powered security, has been recognized as one of the Great Place To Work® and Fortune Magazine 2024 Fortune Best Workplaces in Technology™. This is SentinelOne’s third time being named to the prestigious list, and earning a spot means that SentinelOne is one of the best companies to work for in the country.;Thu, 12 Sep 2024 12:30:00 +0000;S_2024-09-12;0.9423;0.8519
2a310fde-8a3f-336d-abb1-7cf70c7e0ddc;S;SentinelOne taps former Workday exec Barbara Larson as CFO;Cybersecurity firm SentinelOne on Wednesday named Barbara Larson as its new finance chief, effective immediately, succeeding Dave Bernhardt. SentinelOne is trying to take share from CrowdStrike after a global outage due to the bigger rival's faulty software update triggered some customers to rethink their options, with additional investments in AI-powered cybersecurity products. Larson joins SentinelOne after a decade-long stint at Workday where she became the finance chief at the human resources software provider in 2022 and left the post a year later.;Wed, 11 Sep 2024 12:41:24 +0000;S_2024-09-11;0.7351;0.0
5c1133e7-c930-3a98-9b38-903c13922417;S;SentinelOne Appoints Barbara Larson as Chief Financial Officer;"MOUNTAIN VIEW, Calif., September 11, 2024--SentinelOne® (NYSE: S), a global leader in AI-powered cybersecurity, today announced the appointment of Barbara Larson as Chief Financial Officer, effective immediately. Ms. Larson will oversee all aspects of the company’s global financial operations, including FP&amp;A, accounting, tax and treasury, investor relations and internal audit. Dave Bernhardt will remain as an advisor through the end of the calendar year to ensure a smooth transition.";Wed, 11 Sep 2024 12:30:00 +0000;S_2024-09-11;0.7579;0.0
44e7a6ae-b89b-3cde-bc29-c19d4e866cd2;S;Is CrowdStrike Holdings Stock a Buy Now?;Did Wall Street overreact to the massive IT outage the cybersecurity company caused?;Tue, 10 Sep 2024 09:25:00 +0000;S_2024-09-10;-0.25;0.0
338f10db-8a37-3a79-bc37-48dedaba234e;S;Steve Wozniak to Headline SentinelOne’s OneCon 2024;MOUNTAIN VIEW, Calif., September 06, 2024--SentinelOne® (NYSE: S), a global leader in AI-powered security, today unveiled the keynote speaker lineup for its annual OneCon conference, featuring Apple co-founder and tech legend, Steve Wozniak as the headliner. Held at the ARIA Resort & Casino in Las Vegas from October 15-17, the event will focus on the latest innovations in AI, data, cloud and endpoint security and how SentinelOne’s global customers and partners can better adapt to today’s rapidly;Fri, 06 Sep 2024 13:00:00 +0000;S_2024-09-06;0.7717;0.0
79d57550-fab2-36de-bab5-021c0419377f;S;SentinelOne Named a Finalist for Four Key 2024 SC Media Awards, Including Best Security Company, Best Emerging Technology, Best Endpoint Security and Best Cloud Security;MOUNTAIN VIEW, Calif., September 05, 2024--SentinelOne® (NYSE: S), a global leader in AI-powered security, has been named a finalist for four 2024 SC Media Awards in both the Trust and Excellence categories. SentinelOne was recognized as a finalist in the Best Security Company category, and the company’s Singularity Platform was highlighted in the Best Endpoint Security Solution and Best Cloud Security Management Solution categories – the only company and platform to be featured in both. In addi;Thu, 05 Sep 2024 13:00:00 +0000;S_2024-09-05;0.9884;0.9799
fb4f93e6-31a2-3d0c-849e-1cf19dd96663;S;1 Growth Stock Down 69% to Buy Right Now;Wall Street refuses to get behind cybersecurity stock SentinelOne, but you should.;Thu, 05 Sep 2024 08:15:00 +0000;S_2024-09-05;0.0;0.3818
c158b19d-6d91-38a2-af76-0b9ab1d94ce3;S;Why SentinelOne (S) is a Top Momentum Stock for the Long-Term;Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.;Wed, 04 Sep 2024 13:50:13 +0000;S_2024-09-04;0.8979;0.2023
82ef4265-3786-38f2-8c03-36e0cfd6110b;S;Should You Buy SentinelOne Stock Instead of CrowdStrike?;The AI-driven cybersecurity stock still trades far below its IPO price.;Mon, 02 Sep 2024 11:55:00 +0000;S_2024-09-02;0.0;0.0
5e01e2b8-e186-3d30-b6ea-0268195d5fa4;S;SentinelOne's Revenue Soars After the CrowdStrike Outage. Is Now a Golden Opportunity to Buy the Stock?;The cybersecurity company is seeing more interest in its solutions after the global IT outage caused by a peer's software update.;Mon, 02 Sep 2024 09:12:00 +0000;S_2024-09-02;0.6115;0.4215
4b361ecf-8789-3306-9787-c2a78fa84e17;S;Up 45% Since June, Buy This Tech Stock Before It Skyrockets Following Its Beat-and-Raise Report;The cybersecurity specialist raised its full-year guidance and seems to be benefiting from reaction to the CrowdStrike IT outage.;Sun, 01 Sep 2024 11:30:00 +0000;S_2024-09-01;0.0;0.0
3f95c2af-c3c8-3c45-a0ee-5c1537823768;S;1 Unstoppable AI Stock Down 68% to Buy Hand Over Fist;Cybersecurity is becoming a top priority for companies, and SentinelOne is benefitting thanks to its AI-powered products.;Sat, 31 Aug 2024 08:57:00 +0000;S_2024-08-31;0.765;0.34
